State,BoreholeName,BoreholeURI,x,y,countSum,Length,TsgLink
sa,PTR 3 / SAT 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/148490,137.5534295,-32.7893853,163,242.0,https://nvclstore.z8.web.core.windows.net/SA/148490_PTR3_SAT1.zip
sa,MJ 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/149014,138.1365836,-30.7096083,28,484.0,https://nvclstore.z8.web.core.windows.net/SA/149014_MJ1.zip
sa,KD 6,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/149883,140.2751948,-31.8440485,207,247.0,https://nvclstore.z8.web.core.windows.net/SA/149883_Calico_KD6.zip
sa,KD 9,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/149886,140.2212548,-31.9240215,122,453.1,https://nvclstore.z8.web.core.windows.net/SA/149886_Telechie_KD_9.zip
sa,KD 19,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/149896,140.1817058,-31.9227795,73,319.0,https://nvclstore.z8.web.core.windows.net/SA/149896_Toraminga_KD19.zip
sa,KD 20,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/149897,140.3923287,-31.8230995,99,437.5,https://nvclstore.z8.web.core.windows.net/SA/149897_KD20.zip
sa,SPH 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/150190,139.8541531,-29.9256805,305,627.0,https://nvclstore.z8.web.core.windows.net/SA/150190_SPH1.zip
sa,DD92MW 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/153649,139.6816702,-29.9904055,23,200.0,https://nvclstore.z8.web.core.windows.net/SA/153649_DD92MW1.zip
sa,BARTON 1 DDH 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/1548,132.7398021,-30.5870151,27,30.0,https://nvclstore.z8.web.core.windows.net/SA/1548_Barton1DDH1.zip
sa,BARTON 1 DDH 3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/1550,132.7398021,-30.5870151,105,18.37,https://nvclstore.z8.web.core.windows.net/SA/1550_Barton1DDH3.zip
sa,G1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/1552,132.7398021,-30.5870151,76,16.0,https://nvclstore.z8.web.core.windows.net/SA/1552_G1.zip
sa,G3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/1554,132.7398021,-30.5870151,78,10.0,https://nvclstore.z8.web.core.windows.net/SA/1554_G3.zip
sa,77MTDD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155559,139.0073828,-34.8886264,1625,190.8,https://nvclstore.z8.web.core.windows.net/SA/155559_77MTDD1.zip
sa,77MTDD 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155560,139.0073938,-34.8858314,1127,215.0,https://nvclstore.z8.web.core.windows.net/SA/155560_77MTDD2.zip
sa,77MTDD 3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155561,139.0082298,-34.8906954,2080,275.0,https://nvclstore.z8.web.core.windows.net/SA/155561_77MTDD3.zip
sa,77MTDD 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155562,139.0084248,-34.8885534,1898,299.9,https://nvclstore.z8.web.core.windows.net/SA/155562_77MTDD4.zip
sa,77MTDD 5,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155563,139.0082938,-34.8871534,307,349.0,https://nvclstore.z8.web.core.windows.net/SA/155563_77MTDD5.zip
sa,77MTDD 6,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155564,139.0087218,-34.8898204,228,409.0,https://nvclstore.z8.web.core.windows.net/SA/155564_77MTDD6.zip
sa,DD84KA 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155579,139.0101768,-34.8974624,127,381.7,https://nvclstore.z8.web.core.windows.net/SA/155579_DD84KA1.zip
sa,DD84KA 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155580,139.0093888,-34.8938874,33,280.0,https://nvclstore.z8.web.core.windows.net/SA/155580_DD84KA2.zip
sa,DD84KA 3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155581,139.0084358,-34.8821974,242,399.4,https://nvclstore.z8.web.core.windows.net/SA/155581_DD84KA3.zip
sa,G6,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/1557,132.7398021,-30.5870151,162,10.0,https://nvclstore.z8.web.core.windows.net/SA/1557_G6.zip
sa,SE DD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/155724,134.2852247,-29.8839631,275,111.8,https://nvclstore.z8.web.core.windows.net/SA/155724_SEDD1.zip
sa,WILKINSON 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/1575,132.5519971,-29.8669761,10044,709.95,https://nvclstore.z8.web.core.windows.net/SA/1575_Wilkinson1.zip
sa,OBD 7,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/1588,132.5062583,-29.2830791,15,269.6,https://nvclstore.z8.web.core.windows.net/SA/1588_OBD7.zip
sa,BROAD VIEW 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/15954,136.3226028,-33.4149603,231,578.6,https://nvclstore.z8.web.core.windows.net/SA/15954_Broadview_1.zip
sa,WP 122D,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/163428,137.9083216,-29.7301313,30,151.6,https://nvclstore.z8.web.core.windows.net/SA/163428_WP122D.zip
sa,SAE 11,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165125,136.9378988,-31.0731703,420,1267.3,https://nvclstore.z8.web.core.windows.net/SA/165125_SAE11.zip
sa,SAE 13,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165368,137.1700928,-31.1037473,489,477.6,https://nvclstore.z8.web.core.windows.net/SA/165368_EB_SAE13.zip
sa,SAE 15,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165372,137.1438028,-31.1047293,175,400.81,https://nvclstore.z8.web.core.windows.net/SA/165372_SAE15.zip
sa,SAE 18,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165487,137.1648478,-31.1174563,26,426.7,https://nvclstore.z8.web.core.windows.net/SA/165487_SAE_18.zip
sa,SAE 19,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165488,137.1662838,-31.1160793,19,429.7,https://nvclstore.z8.web.core.windows.net/SA/165488_SAE_19.zip
sa,SAE 20,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165489,137.1635158,-31.1188313,240,417.85,https://nvclstore.z8.web.core.windows.net/SA/165489_SAE_20.zip
sa,AC94CW 6,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165490,136.144137,-31.1976913,1226,252.0,https://nvclstore.z8.web.core.windows.net/SA/165490_AC94CW6.zip
sa,GUNSIGHT GD 10,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165527,139.6553232,-29.9992985,107,256.0,https://nvclstore.z8.web.core.windows.net/SA/165527_GD10.zip
sa,SAE 21,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165529,137.1579488,-31.1090933,279,452.3,https://nvclstore.z8.web.core.windows.net/SA/165529_SAE21.zip
sa,SAE 1X,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165604,137.1171578,-31.1228493,59,648.85,https://nvclstore.z8.web.core.windows.net/SA/165604_EB_SAE1X.zip
sa,SAE 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165607,137.1409008,-31.1109113,455,1172.5,https://nvclstore.z8.web.core.windows.net/SA/165607_EB_SAE4.zip
sa,SAE 5,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165608,137.1598378,-31.0999513,8,914.4,https://nvclstore.z8.web.core.windows.net/SA/165608 EB SAE5.zip
sa,SAE 6,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165609,137.1493818,-31.1104093,403,1200.0,https://nvclstore.z8.web.core.windows.net/SA/165609_EB_SAE6.zip
sa,SB 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165610,139.6699062,-29.9785125,23,83.6,https://nvclstore.z8.web.core.windows.net/SA/165610_SB1.zip
sa,GUNSIGHT GD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/165644,139.6517182,-30.0005695,106,111.5,https://nvclstore.z8.web.core.windows.net/SA/165644_GD1.zip
sa,SSR-1001,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/16638,136.349255,-30.8397843,274,499.5,https://nvclstore.z8.web.core.windows.net/SA/16638_SSR1001.zip
sa,PRICES BORE 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/16697,136.1716871,-30.1987702,6606,499.5,https://nvclstore.z8.web.core.windows.net/SA/16697_Prices_Bore_1.zip
sa,KTH 11,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/167585,140.1867352,-36.0754135,59,214.6,https://nvclstore.z8.web.core.windows.net/SA/167585_KTH11.zip
sa,KTH 13,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/167587,140.3057312,-36.3714176,116,87.1,https://nvclstore.z8.web.core.windows.net/SA/167587_KTH13.zip
sa,SR6,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/16759,136.4091621,-29.7708413,1177,889.55,https://nvclstore.z8.web.core.windows.net/SA/16759_SR6.zip
