BoreholeURI,x,y,BoreholeName,State,Length,TsgLink
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/232334,138.9111519,-34.3603384,KD29,sa,591.4,https://nvclstore.z8.web.core.windows.net/SA/232334_KD29.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/232335,137.5344985,-32.7539413,MC07RD01,sa,176.4,https://nvclstore.z8.web.core.windows.net/SA/232335_MC07 RD01.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/232336,137.5323645,-32.7539393,MC07RD03,sa,180.5,https://nvclstore.z8.web.core.windows.net/SA/232336_MC07 RD03.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/232346,137.2891764,-31.3783581,PCDD1,sa,594,https://nvclstore.z8.web.core.windows.net/SA/232346 PCDDH 1.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/232640,137.0598208,-30.2776873,PH-DD05MS002,sa,930.4,https://nvclstore.z8.web.core.windows.net/SA/232640_ DD05MS002.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23265,137.6792413,-33.8858583,NTH KADINA 1,sa,153.72,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/232682,137.6703183,-33.8989353,MPD-05-18,sa,656.7,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23386,137.6859303,-33.9749553,KURILLA BORE 5,sa,148.74,https://nvclstore.z8.web.core.windows.net/SA/23386_Kurilla_DDH5.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23389,137.9450262,-33.9337943,BUTE DDH 6,sa,483.58,https://nvclstore.z8.web.core.windows.net/SA/23389_ButeDDH6.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23390,137.9851512,-33.9369463,BUTE DDH 8,sa,10.5,https://nvclstore.z8.web.core.windows.net/SA/23390_Bute DDH8.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23391,137.9798632,-33.9363533,BUTE DDH 9,sa,17.1,https://nvclstore.z8.web.core.windows.net/SA/23391_Bute DDH9.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23392,137.9679472,-33.9445293,BUTE DDH 10,sa,20.85,https://nvclstore.z8.web.core.windows.net/SA/23392_Bute DDH10.zip
